MRP_WHS_GRP,WS_CD,JOC_CD,VENDOR_CD,VENDOR_DESC,DISB_CHARGE_CD,ITEM_NO,ITEM_DESC,WHS_CD,STD_PACK,PLAN_LOT_SIZE,USAGE_QTY,PLAN_LOT_USAGE_QTY,SUPPLY_QTY,OPEN_QTY,PARENT_ITEM_DESC,START_ECN_ACCUM_QTY,END_ECN_ACCUM_QTY
BTV,FGL03,24630001,PA1240,CHIYODA INTEGRE CO (S) PTE LTD,INJITIOP,505289201,REF.POL.ON.POP (KPTB 2L),RC1S1,1,30,1,30,0,30,SV-41498(CEI)/FW-65BZ40L/CEI,1,30
BTV,FGL03,24630001,080144,JEBSEN & JESSEN PACKAGING S/B,OUTJIT,502158002,CUSHION UPPER (2L PHN),RC1S1,1,30,1,30,0,30,SV-41498(CEI)/FW-65BZ40L/CEI,1,30
BTV,FGL03,24626001,005715,TOSIN PACKAGING (M) SDN BHD,OUTJITB,501969901,"BAG,PROTECTION SLIT(1720X1050)",RC1S1,1,50,1,50,0,50,SV-41485(CEI)/FW-65BZ30L/CEI,1,50
BTV,FGL03,22741030,PA1257,INABATA MALAYSIA SDN BHD,INJITIOP,503550401,MOP SHEET (HRS 2L),RC1S1,1,240,1,240,0,240,SV-40270(VN3)/KD-65X85K/1AF1,1,240
BTV,FGL03,22741030,S80003,SONY TAIWAN LIMITED,INJITIOP,504447001,DIFFUSER PLATE (EPH 2L),RC1S1,1,240,1,240,0,240,SV-40270(VN3)/KD-65X85K/1AF1,1,240
BTV,FGL03,22741030,005715,TOSIN PACKAGING (M) SDN BHD,OUTJITB,501969901,"BAG,PROTECTION SLIT(1720X1050)",RC1S1,1,240,1,240,0,240,SV-40270(VN3)/KD-65X85K/1AF1,1,240
BTV,FGL03,22730026,080006,ORNAPAPER INDUSTRY (M) SDN BHD,OUTJITC,500840701,TRAY (2L BNN),RC1S1,1,264,1,264,0,264,SV-40270(VN3)/KD-65X85K/UAF1,1,264
BTV,FGL03,22730026,108349,BOE TECH (HK) LTD_SCM RM,OCELLTCON,101411112,MOUNTED PWB E-T-CON (65),RC1S3,1,264,1,264,0,264,SV-40270(VN3)/KD-65X85K/UAF1,1,264
BTV,FGL03,22626012,313804,SONY ELECT OPERATIONS (CN) LTD,INJITI,503416701,BEZEL BT ASSY (2L TGR),RC1S1,1,644,1,644,0,644,P-MOD (YDCM065DCS01)(SVC),1,644
BTV,FGL03,22626012,000602,CHIYODA INTEGRE CO.(M) SDN BHD,INJITIOP,503554401,REFLECTIVE SHEET (TGR 2L),RC1S1,1,644,1,644,0,644,P-MOD (YDCM065DCS01)(SVC),1,644
BTV,FGL03,22595021,PA1092,CHINA STAR OPTOELEC INTL HK,OCELLTCON,101412121,MOUNTED PWB E-T-CON (65),RC1S3,1,504,1,504,0,504,SV-40052(VN3)/XR-65X90K/1AF1,1,504
BTV,FGL03,22482015,080144,JEBSEN & JESSEN PACKAGING S/B,OUTJIT,502228401,"CUSH, UPP LFT PMOD (L RIS)",RC1S1,1,224,0.1429,32,0,32,P-MOD (YSCM065CCO01)(SVC),1,224
BTV,FGL03,22482015,080144,JEBSEN & JESSEN PACKAGING S/B,OUTJIT,502865411,CUS LOW R PMOD (L PHN),RC1S1,1,224,0.1429,32,0,32,P-MOD (YSCM065CCO01)(SVC),1,224
BTV,FGL03,22456012,080145,YH PRECISION (M) SDN BHD,INJIT,503339713,BACK CHASSIS ASSY (2L EPH),RC1S1,1,50,1,50,0,50,SV-40038(VN3)/KD-65X81DK/VN3,1,50
BTV,FGL03,22456012,000602,CHIYODA INTEGRE CO.(M) SDN BHD,INJITIOP,503478101,REFLECTIVE SHEET (EPH 2L),RC1S1,1,50,1,50,0,50,SV-40038(VN3)/KD-65X81DK/VN3,1,50
BTV,FGL03,22456012,080140,TOKOPAK SDN BHD,OUTJIT,500840902,"CUSHION, FRONT (2L BNN)",RC1S1,1,50,1,50,0,50,SV-40038(VN3)/KD-65X81DK/VN3,1,50
BTV,FGL03,22456012,001504,FORMOSA PROSONIC INDUSTRIES BH,OUTJIT,503313341,"STAND, R (2L HRS) A",RC1S1,1,50,1,50,0,50,SV-40038(VN3)/KD-65X81DK/VN3,1,50
BTV,FGL03,22421036,S80003,SONY TAIWAN LIMITED,INJITIOP,504447001,DIFFUSER PLATE (EPH 2L),RC1S1,1,244,1,244,0,244,SV-40036(VN3)/KD-65X80K/AZ1,1,244
BTV,FGL03,22421036,001504,FORMOSA PROSONIC INDUSTRIES BH,OUTJIT,503312611,"STAND, R (2L EPH) A",RC1S1,1,244,1,244,0,244,SV-40036(VN3)/KD-65X80K/AZ1,1,244
BTV,FGL03,22421036,108349,BOE TECH (HK) LTD_SCM RM,ITCOCELL,101410812,LIQUID CRYSTAL ELEMENT(B650QUB,RCGS1,1,244,1,244,0,244,SV-40036(VN3)/KD-65X80K/AZ1,1,244
BTV,FGL03,22409070,080124,BANGI PLASTICS SDN BHD,INJIT,503338211,BEZEL TP ASSY (2L EPH),RC1S1,1,125,1,125,0,125,SV-40036(VN3)/KD-65X80K/VN3,1,125
BTV,FGL03,22310038,000602,CHIYODA INTEGRE CO.(M) SDN BHD,INJITIOP,503478031,MOP SHEET (EPH 2L),RC1S1,1,98,1,98,0,98,P-MOD (YSCM065CCO01),1,98
BTV,FGL03,22310038,S80003,SONY TAIWAN LIMITED,INJITIOP,504447001,DIFFUSER PLATE (EPH 2L),RC1S1,1,98,1,98,0,98,P-MOD (YSCM065CCO01),1,98
BTV,FGL03,22310038,080148,DAI SUWON PACKAGING SDN BHD,OUTJITB,502503631,"BAG, PRO PEHD",RC1S1,1,98,1,98,0,98,P-MOD (YSCM065CCO01),1,98
BTV,FGL03,22310038,108349,BOE TECH (HK) LTD_SCM RM,ITCOCELL,101410812,LIQUID CRYSTAL ELEMENT(B650QUB,RCGS1,1,98,1,98,0,98,P-MOD (YSCM065CCO01),1,98
BTV,FGL05,24380003,005101,RYOKA (MALAYSIA) SDN BHD,INJIT,504481911,BEZEL TP ASSY (L ERP),RC1S1,1,102,1,102,0,102,SV-41464(PL1)/KD-55X85L/PL1,1,102
BTV,FGL05,24380003,001504,FORMOSA PROSONIC INDUSTRIES BH,OUTJIT,504477201,STAND R (L ERP) A,RC1S1,1,102,1,102,0,102,SV-41464(PL1)/KD-55X85L/PL1,1,102
BTV,FGL05,24380003,002128,DANSONPACK (KL) SDN BHD,OUTJITB,472440601,"ACC, POUCH",RC1S1,1,102,1,102,0,102,SV-41464(PL1)/KD-55X85L/PL1,1,102
BTV,FGL05,24380003,001802,GS PAPERBOARD & PACKAGING S/B,OUTJITC,502172301,TRAY (L PHN),RC1S1,1,102,1,102,0,102,SV-41464(PL1)/KD-55X85L/PL1,1,102
BTV,FGL05,24251003,003010,KAWAGUCHI MFG. SDN BHD,INJIT,504507611,REAR COVER ASSY (L ERP),RC1S1,1,600,1,600,0,600,SV-41476(TW6)/KM-55X85L/TW6,1,600
BTV,FGL05,24251003,001802,GS PAPERBOARD & PACKAGING S/B,OUTJITC,504562201,CELL PROTECTOR (L CBN),RC1S1,1,600,1,600,0,600,SV-41476(TW6)/KM-55X85L/TW6,1,600
BTV,FGL05,24205003,080144,JEBSEN & JESSEN PACKAGING S/B,OUTJIT,504444102,CUSHION LOWER (L CBN),RC1S1,1,50,1,50,0,50,SV-41134(VN3)/XR-55X90L/AF1,1,50
BTV,FGL05,24197005,002128,DANSONPACK (KL) SDN BHD,OUTJITB,472440601,"ACC, POUCH",RC1S1,1,49,1,49,0,49,SV-41134(VN3)/XR-55X90L/E51,1,49
