Title,TV Manual Pull Card,,,,,,,,,,,,,,,,
Mrp Whs Grp,Ws Cd,Joc Cd,Vendor Cd,Vendor Name,Disb Charge Cd,Item No,Item Desc,Whs Cd,Std Pack,Plan Lot Size,Usage,Plan Lot Usage Qty,Completed Qty,Open Qty,Parent Item Desc,Start ECN Accum Qty,End ECN Accum Qty
MRP_WHS_GRP,WS_CD,JOC_CD,VENDOR_CD,VENDOR_DESC,DISB_CHARGE_CD,ITEM_NO,ITEM_DESC,WHS_CD,STD_PACK,PLAN_LOT_SIZE,USAGE_QTY,PLAN_LOT_USAGE_QTY,SUPPLY_QTY,OPEN_QTY,PARENT_ITEM_DESC,START_ECN_ACCUM_QTY,END_ECN_ACCUM_QTY
BTV,FGL03,23860018,PA1114,HAMBURG (JIANGSU) CO LTD,SP,100650912,FLEXIBLE FLAT CABLE 25P,RC1B1,1,185,1,185,0,185,SV-41111(VN3)/KD-65X80L/VN3,1,185
BTV,FGL03,22593028,PA1117,TESCOM ELECT TRADING (M) S/B,SP,100710611,FLEXIBLE FLAT CABLE 30P,RC1B1,1,54,1,54,0,54,SV-40052(VN3)/XR-65X90K/MY1,1,54
BTV,FGL03,22593028,PA1111,ADACHI HOLDINGS LIMITED,SP,101129211,FLEXIBLE FLAT CABLE 60P,RC1B1,1,54,2,108,0,108,SV-40052(VN3)/XR-65X90K/MY1,1,54
BTV,FGL03,22456014,100629,C.G. DEVELOPMENT LTD,ACC,101369313,REMOTE COMMANDER (RMF-TX800P),RC1B2,1,50,1,50,0,50,SV-40038(VN3)/KD-65X81DK/VN3,1,50
BTV,FGL03,22409075,PA1117,TESCOM ELECT TRADING (M) S/B,SP,100651012,FLEXIBLE FLAT CABLE 25P,RC1B1,1,10,1,10,0,10,SV-40036(VN3)/KD-65X80K/VN3,1,10
BTV,FGL03,22409074,080124,BANGI PLASTICS SDN BHD,INJIT,503338211,BEZEL TP ASSY (2L EPH),RC1S1,1,252,1,252,0,252,SV-40036(VN3)/KD-65X80K/VN3,1,252
BTV,FGL05,24584002,005753,TKR PRECISION (M) SDN BHD,SB,504487501,BRACKET STAND LEFT (L CBN),RC1B3,1,20,1,20,0,20,SV-41470(HK5)/KD-55X85L/HK5,1,20
BTV,FGL05,24584002,080140,TOKOPAK SDN BHD,OUTJIT,504444261,CUSHION SIDE (L CBN),RC1S1,1,20,2,40,0,40,SV-41470(HK5)/KD-55X85L/HK5,1,20
BTV,FGL05,24511004,001504,FORMOSA PROSONIC INDUSTRIES BH,SB,504581451,BRACKET SIDE (CBN) A,RC1B3,1,91,1,91,0,91,SV-41720(E33)/KD-55X85L/E33,1,91
BTV,FGL05,24380006,001504,FORMOSA PROSONIC INDUSTRIES BH,OUTJIT,504477201,STAND R (L ERP) A,RC1S1,1,165,1,165,0,165,SV-41464(PL1)/KD-55X85L/PL1,1,165
BTV,FGL05,24366004,003647,MEGA SQUARE SDN BHD,SP,101752121,CONNECTOR ASSY 4P (SP),RC1B1,1,43,1,43,0,43,SV-41447(VN3)/KD-55X85L/IA2,1,43
BTV,FGL05,24366004,PA1117,TESCOM ELECT TRADING (M) S/B,SP,101772511,FLEXIBLE FLAT CABLE 41P,RC1B1,1,43,1,43,0,43,SV-41447(VN3)/KD-55X85L/IA2,1,43
BTV,FGL05,24363004,100629,C.G. DEVELOPMENT LTD,ACC,101694211,REMOTE COMMANDER (RMF-TX810V),RC1B2,1,195,1,195,0,195,SV-41447(VN3)/KD-55X85L/AF1,1,195
BTV,FGL05,24359002,000602,CHIYODA INTEGRE CO.(M) SDN BHD,INJITIOP,504603201,REFLECTIVE SHEET (ERP L),RC1S1,1,12,1,12,0,12,SV-41447(VN3)/KD-55X85L/TH8,1,12
